ug 20 10:29:02 2020    call_gsas.prof

         27734897 function calls (27720644 primitive calls) in 188.165 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27/10    0.000    0.000    0.002    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1145(__subclasscheck__)
        7    0.000    0.000    0.001    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIlattice.py:163(cell2A)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
       10    0.000    0.000    0.001    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/numeric.py:2274(within_tol)
        1    0.000    0.000    0.001    0.001 mc_cellsearch.py:143(<listcomp>)
       30    0.000    0.000    0.001    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2337(all)
       50    0.000    0.000    0.001    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:58(__iter__)
       20    0.000    0.000    0.001    0.000 mc_cellsearch.py:83(gpeak_from_d_spacing)
        1    0.001    0.001    0.001    0.001 :0(setprofile)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)


       12    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:711(halfCell)
       20    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/random.py:223(_randbelow)
        5    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:875(__extrahook__)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_ufunc_config.py:438(__exit__)
       14    0.000    0.000    0.000    0.000 :0(print)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/numpy/core/_ufunc_config.py:433(__enter__)
       16    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:26(__exit__)
       36    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/modules/gfel/GSASII/GSASIIindex_old.py:702(oddPeak)
        1    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/lapack.py:854(get_lapack_funcs)
        1    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/site-packages/scipy/linalg/blas.py:317(_get_funcs)
       39    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:70(__contains__)
       60    0.000    0.000    0.000    0.000 :0(hasattr)
       16    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:20(__enter__)
      8/4    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1164(__setattr__)
       18    0.000    0.000    0.000    0.000 :0(time)
       16    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:81(add)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       15    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1019(_abc_negative_cache)
       14    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1089(__eq__)
       11    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/build/../conda_base/lib/python3.6/_weakrefset.py:36(__init__)
       25    0.000    0.000    0.000    0.000 :0(getrandbits)
       10    0.000    0.000    0.000    0.000 /net/dials/raid1/dwpaley/viper_builds/dials/conda_base/lib/python3.6/typing.py:1033(_abc_negative_cache_version)
